title,budget,revenue,runtime,genres,popularity,vote_average,vote_count,belongs_to_collection,director,lead_actor,profit,profit_margin,release__year,production_company,genre1,genre2,genre3
Lilo & Stitch,80000000,273144151,85,"['Animation', 'Family', 'Comedy']",182.4251,7.547,6556,True,Chris Sanders,Daveigh Chase,193144151,0.7071143580885245,2002,Walt Disney Pictures,Animation,Family,Comedy
Moana 2,150000000,1059544057,100,"['Animation', 'Adventure', 'Family', 'Comedy']",114.242,7.081,2418,True,David G. Derrick Jr.,Auliʻi Cravalho,909544057,0.8584296716979273,2024,Walt Disney Pictures,Animation,Adventure,Family
Mufasa: The Lion King,200000000,721046090,118,"['Adventure', 'Family', 'Animation']",85.5401,7.397,2165,True,Barry Jenkins,Aaron Pierre,521046090,0.7226252208093937,2024,Walt Disney Pictures,Adventure,Family,Animation
Sonic the Hedgehog 3,122000000,486018457,110,"['Action', 'Science Fiction', 'Comedy', 'Family']",81.6122,7.715,2633,True,Jeff Fowler,Jim Carrey,364018457,0.7489807264665259,2024,Paramount Pictures,Action,Science Fiction,Comedy
Mission: Impossible - Dead Reckoning Part One,291000000,571125435,164,"['Action', 'Adventure', 'Thriller']",73.4752,7.532,4311,True,Christopher McQuarrie,Tom Cruise,280125435,0.49047970521572026,2023,Paramount Pictures,Action,Adventure,Thriller
Anora,6000000,56286295,139,"['Drama', 'Comedy', 'Romance']",65.4378,7.052,2223,False,Sean Baker,Mikey Madison,50286295,0.8934021150264021,2024,Cre Film,Drama,Comedy,Romance
Dunkirk,150000000,527000000,107,"['War', 'Action', 'Drama']",63.3353,7.45,16804,False,Christopher Nolan,Fionn Whitehead,377000000,0.715370018975332,2017,Warner Bros. Pictures,War,Action,Drama
Final Destination,23000000,112880294,98,['Horror'],61.2476,6.62,6022,True,James Wong,Devon Sawa,89880294,0.7962443294132455,2000,Hard Eight Pictures,Horror,,
Final Destination 5,40000000,157887643,91,"['Horror', 'Mystery']",59.6141,6.1,3652,True,Steven Quale,Nicholas D'Agosto,117887643,0.7466552844797361,2011,Parallel Zide,Horror,Mystery,
xXx,70000000,277448382,124,"['Action', 'Adventure', 'Thriller', 'Crime']",58.4345,5.942,4425,True,Rob Cohen,Vin Diesel,207448382,0.7477008173722203,2002,Columbia Pictures,Action,Adventure,Thriller
Despicable Me 4,100000000,969280910,94,"['Animation', 'Family', 'Comedy', 'Science Fiction']",56.8649,7.039,2782,True,Chris Renaud,Steve Carell,869280910,0.8968307340335424,2024,Universal Pictures,Animation,Family,Comedy
