title,budget,revenue,runtime,popularity,vote_average,vote_count,belongs_to_collection,director,lead_actor,profit,profit_margin,production_company,genre1,genre2,genre3
Avengers: Infinity War,300000000,2052415039,149,204.1534,8.236,30594,True,Joe Russo,Robert Downey Jr.,1752415039,0.8538307338918305,Marvel Studios,Adventure,Action,Science Fiction
Spider-Man: Homecoming,175000000,880166924,133,172.1237,7.331,22236,True,Jon Watts,Tom Holland,705166924,0.8011740782024661,Marvel Studios,Action,Adventure,Science Fiction
The Suicide Squad,185000000,168717425,132,181.7728,7.486,8922,True,James Gunn,Margot Robbie,-16282575,-0.09650796294455063,DC Films,Action,Comedy,Adventure
Black Panther,200000000,1349926083,135,175.7277,7.373,22587,True,Ryan Coogler,Chadwick Boseman,1149926083,0.8518437398027519,Marvel Studios,Action,Adventure,Science Fiction
Beauty and the Beast,160000000,1266115964,129,173.0665,6.972,15647,False,Bill Condon,Emma Watson,1106115964,0.8736292689221633,Walt Disney Pictures,Family,Fantasy,Romance
Moonlight,4000000,65046687,111,131.7603,7.4,7188,False,Barry Jenkins,Trevante Rhodes,61046687,0.9385057074467144,A24,Drama,,
Lilo & Stitch,80000000,273144151,85,125.6741,7.6,6589,True,Chris Sanders,Daveigh Chase,193144151,0.7071143580885245,Walt Disney Pictures,Animation,Family,Comedy
Wonder Woman,149000000,823970682,141,133.4968,7.217,20247,True,Patty Jenkins,Gal Gadot,674970682,0.819168323272939,Atlas Entertainment,Action,Adventure,Fantasy
Kong: Skull Island,185000000,566652812,118,145.5577,6.545,10664,False,Jordan Vogt-Roberts,Tom Hiddleston,381652812,0.6735214295557047,Legendary Pictures,Action,Adventure,Fantasy
Star Wars: The Last Jedi,200000000,1332698830,152,118.1273,6.776,15629,True,Rian Johnson,Mark Hamill,1132698830,0.849928584389918,Lucasfilm Ltd.,Adventure,Action,Science Fiction
Wonder Woman 1984,200000000,169601036,151,153.4039,6.4,8642,True,Patty Jenkins,Gal Gadot,-30398964,-0.17923807965418326,Warner Bros. Pictures,Action,Adventure,Fantasy
Black Widow,200000000,379751131,134,120.4967,7.2,10574,False,Cate Shortland,Scarlett Johansson,179751131,0.4733392907261677,Marvel Studios,Action,Adventure,Science Fiction
Avengers: Endgame,356000000,2799439100,181,120.3997,8.239,26398,True,Anthony Russo,Robert Downey Jr.,2443439100,0.8728316683152707,Marvel Studios,Adventure,Science Fiction,Action
Moana 2,150000000,1059242164,100,96.9766,7.1,2435,True,David G. Derrick Jr.,Auliʻi Cravalho,909242164,0.8583893229537264,Walt Disney Pictures,Animation,Adventure,Family
Jojo Rabbit,14000000,82468705,108,96.3984,8.006,9823,False,Taika Waititi,Roman Griffin Davis,68468705,0.8302386341582544,Fox Searchlight Pictures,Comedy,War,Drama
Ready or Not,6000000,57600000,95,132.2345,7.033,4803,True,Matt Bettinelli-Olpin,Samara Weaving,51600000,0.8958333333333334,Mythology Entertainment,Horror,Comedy,
Baywatch,69000000,177900000,116,104.2192,6.1,8196,False,Seth Gordon,Dwayne Johnson,108900000,0.612141652613828,Uncharted,Comedy,Action,Crime
Moana 2,150000000,1059242164,100,96.9766,7.1,2435,True,David G. Derrick Jr.,Auliʻi Cravalho,909242164,0.8583893229537264,Walt Disney Pictures,Animation,Adventure,Family
