title,budget,revenue,runtime,genres,popularity,vote_average,vote_count,belongs_to_collection,director,lead_actor,profit,profit_margin,release__year,production_company,genre1,genre2,genre3
Lilo & Stitch,80000000,273144151,85,"['Animation', 'Family', 'Comedy']",171.5098,7.5,6540,True,Dean DeBlois,Daveigh Chase,193144151,0.7071143580885245,2002,Walt Disney Pictures,Animation,Family,Comedy
Moana 2,150000000,1059544057,100,"['Animation', 'Adventure', 'Family', 'Comedy']",114.6447,7.081,2411,True,David G. Derrick Jr.,Auliʻi Cravalho,909544057,0.8584296716979273,2024,Walt Disney Pictures,Animation,Adventure,Family
Mufasa: The Lion King,200000000,721046090,118,"['Adventure', 'Family', 'Animation']",82.3976,7.4,2156,True,Barry Jenkins,Aaron Pierre,521046090,0.7226252208093937,2024,Walt Disney Pictures,Adventure,Family,Animation
Mission: Impossible - Dead Reckoning Part One,291000000,571125435,164,"['Action', 'Adventure', 'Thriller']",83.0206,7.5,4294,True,Christopher McQuarrie,Tom Cruise,280125435,0.49047970521572026,2023,Paramount Pictures,Action,Adventure,Thriller
Sonic the Hedgehog 3,122000000,486018457,110,"['Action', 'Science Fiction', 'Comedy', 'Family']",77.7636,7.7,2629,True,Jeff Fowler,Jim Carrey,364018457,0.7489807264665259,2024,Paramount Pictures,Action,Science Fiction,Comedy
Final Destination,23000000,112880294,98,['Horror'],69.2137,6.6,6013,True,James Wong,Devon Sawa,89880294,0.7962443294132455,2000,Hard Eight Pictures,Horror,,
Final Destination 5,40000000,157887643,91,"['Horror', 'Mystery']",62.0468,6.1,3645,True,Steven Quale,Nicholas D'Agosto,117887643,0.7466552844797361,2011,Parallel Zide,Horror,Mystery,
xXx,70000000,277448382,124,"['Action', 'Adventure', 'Thriller', 'Crime']",59.2173,5.942,4423,True,Rob Cohen,Vin Diesel,207448382,0.7477008173722203,2002,Columbia Pictures,Action,Adventure,Thriller
The Wild Robot,78000000,331982078,102,"['Animation', 'Science Fiction', 'Family']",55.5662,8.315,4971,True,Chris Sanders,Lupita Nyong'o,253982078,0.765047557778104,2024,DreamWorks Animation,Animation,Science Fiction,Family
Venom: The Last Dance,120000000,478103649,109,"['Action', 'Science Fiction', 'Adventure']",52.1426,6.7,3406,True,Kelly Marcel,Tom Hardy,358103649,0.7490083996409741,2024,Columbia Pictures,Action,Science Fiction,Adventure
Deadpool & Wolverine,200000000,1338073645,128,"['Action', 'Comedy', 'Science Fiction']",51.4598,7.595,7287,True,Shawn Levy,Ryan Reynolds,1138073645,0.8505313958261244,2024,Marvel Studios,Action,Comedy,Science Fiction
Despicable Me 4,100000000,969280910,94,"['Animation', 'Family', 'Comedy', 'Science Fiction']",48.8251,7.0,2777,True,Chris Renaud,Steve Carell,869280910,0.8968307340335424,2024,Universal Pictures,Animation,Family,Comedy
The Substance,17500000,76506196,141,"['Horror', 'Science Fiction']",46.9204,7.1,4673,False,Coralie Fargeat,Demi Moore,59006196,0.7712603564814541,2024,Working Title Films,Horror,Science Fiction,
Inside Out 2,200000000,1698863816,97,"['Animation', 'Adventure', 'Comedy', 'Family']",45.6684,7.554,5875,True,Kelsey Mann,Amy Poehler,1498863816,0.8822742599398562,2024,Walt Disney Pictures,Animation,Adventure,Comedy
Gladiator II,310000000,462180717,148,"['Action', 'Adventure', 'Drama']",45.0907,6.735,3422,True,Ridley Scott,Paul Mescal,152180717,0.3292666946120126,2024,Paramount Pictures,Action,Adventure,Drama
Kung Fu Panda 4,80000000,548040835,94,"['Animation', 'Family', 'Action', 'Comedy', 'Adventure', 'Fantasy']",44.8685,7.1,3090,True,Mike Mitchell,Jack Black,468040835,0.8540254760395729,2024,DreamWorks Animation,Animation,Family,Action
The Avengers,220000000,1518815515,143,"['Science Fiction', 'Action', 'Adventure']",44.0579,7.754,31915,True,Joss Whedon,Robert Downey Jr.,1298815515,0.855150281369097,2012,Marvel Studios,Science Fiction,Action,Adventure
Final Destination 2,26000000,90941129,90,"['Horror', 'Mystery']",43.9053,6.3,4331,True,David R. Ellis,Ali Larter,64941129,0.7141007563255565,2003,New Line Cinema,Horror,Mystery,
Kraven the Hunter,120000000,59184643,127,"['Action', 'Adventure', 'Thriller']",41.4873,6.56,1709,False,J.C. Chandor,Aaron Taylor-Johnson,-60815357,-1.0275529920827604,2024,Columbia Pictures,Action,Adventure,Thriller
Final Destination 3,25000000,118890272,92,"['Horror', 'Mystery']",41.2747,6.1,4107,True,James Wong,Mary Elizabeth Winstead,93890272,0.789722072466955,2006,New Line Cinema,Horror,Mystery,
Avengers: Infinity War,300000000,2052415039,149,"['Adventure', 'Action', 'Science Fiction']",40.7186,8.236,30558,True,Joe Russo,Robert Downey Jr.,1752415039,0.8538307338918305,2018,Marvel Studios,Adventure,Action,Science Fiction
The Final Destination,40000000,187384627,82,"['Horror', 'Mystery']",39.7434,5.612,3475,True,David R. Ellis,Bobby Campo,147384627,0.7865353170086893,2009,Parallel Zide,Horror,Mystery,
